time,load
1-1-2017,15060635
2-1-2017,13080981
3-1-2017,13201405
4-1-2017,11476763
5-1-2017,10360161
6-1-2017,9142402
7-1-2017,8852517
8-1-2017,9438216
9-1-2017,9914426
10-1-2017,11214047
11-1-2017,12694543
12-1-2017,13701640
1-1-2018,14504551
2-1-2018,13884656
3-1-2018,14196573
4-1-2018,11118291
5-1-2018,9842399
6-1-2018,9069723
7-1-2018,8786241
8-1-2018,9342431
9-1-2018,9794356
10-1-2018,11416117
11-1-2018,12440942
12-1-2018,13747535
1-1-2019,15176458
2-1-2019,12596848
3-1-2019,13115354
4-1-2019,10839965
5-1-2019,10296074
6-1-2019,9123072
7-1-2019,8810501
8-1-2019,9247705
9-1-2019,9817570
10-1-2019,11640394
11-1-2019,12614805
12-1-2019,13114814
1-1-2020,13376499
2-1-2020,12967272
3-1-2020,13274714
4-1-2020,10839757
5-1-2020,10033897
6-1-2020,8913169
7-1-2020,8139394
